Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,ガラディオン湾,Merman's Mane,マーマンヘアー,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Glowworm,グロウワーム,,,Krill,クリル,94,4,7,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,Octopus,オクトパス,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,T!Heavenskey,キー・オブ・ヘヴン,2 - 3,2 -3 ,2 - 3,4 - 6,2 - 3,,Glowworm,グロウワーム,,,Ragworm,イワイソメ,67,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Ghost Shark,ゴーストシャーク,3 - 4,3 - 4,3 - 4,5 - 7,5 - 7,,Glowworm,グロウワーム,,,Plump Worm,ファットワーム,78,4,7,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,S,Shark,サメ,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Fishmonger,フィッシュモンガー,4.5 - 8,4.5 - 8,4.5 - 8,5 - 10,4.5 - 8,,Glowworm,グロウワーム,,,Plump Worm,ファットワーム,78,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,T!Navigator's Print,リムレーンプリント,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Glowworm,グロウワーム,,,Krill,クリル,71,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Casket Oyster,ネイルドオイスター,7 - 11,,,9 - 13,,,Glowworm,グロウワーム,,,Ragworm,イワイソメ,222,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,ガラディオン湾,Quicksilver Blade,クイックシルバーブレード,,,5 - 7,6 - 8,,,Glowworm,グロウワーム,,,Plump Worm,ファットワーム,213,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,No,Yes,No,4,S,Shark,サメ,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Funnel Shark,ファンネルシャーク,,,7 - 11,9 - 12,,,Glowworm,グロウワーム,,,Plump Worm,ファットワーム,213,4,7,!!!,Powerful,ストロングフッキング,,,,,,,,,,,No,Yes,No,4,S,Shark,サメ,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Nimble Dancer,ニンブルダンサー,12 - 16,,,14 - 18,,,Glowworm,グロウワーム,,,Ragworm,イワイソメ,444,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,ガラディオン湾,F!Sothis,ソティス,,,,,9 - 12,,Glowworm,グロウワーム,,,Glowworm,グロウワーム,500,1,1,!!!,Powerful,ストロングフッキング,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Heavenskey.png"" alt=""キー・オブ・ヘヴン"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""キー・オブ・ヘヴン"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Navigator_s Print.png"" alt=""リムレーンプリント"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""リムレーンプリント"" tabindex=""0"">",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Southern,メルトール海峡南,M!Ghoul Barracuda,グールバラクーダ,4 - 8,4 - 8,4 - 8,7 - 11,,,,,,,Krill,クリル,10,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,No,No,Yes,Wind,風,Gales,暴風,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,La Noscean Jelly,ラノシアンジェリー,2 - 5,2 - 5,2 - 5,5 - 8,,,,,,,Ragworm,イワイソメ,10,3 - 4,5 - 7,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,1,J,Jellyfish,クラゲ,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Sunfly,サニーバタフライ,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Ragworm,イワイソメ,10,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Marine Bomb,マリンボム,5 - 9,5 - 9,9 - 14,9 - 14,,,,,,,Krill,クリル,27,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,2,,Fugu,フグ,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Shaggy Seadragon,シャギーシードラゴン,9 - 16,14 - 22,14 - 22,14 - 22,,,,,,,Ragworm,イワイソメ,35,4,7,!,Precision,プレシジョンフッキング,Yes,No,No,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,2,,Seadragon,シードラゴン,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Momora Mora,モモラ・モラ,13 - 21,13 - 21,8 - 17,13 - 21,,8 - 17,,,M!Ghoul Barracuda,グールバラクーダ,Plump Worm,ファットワーム,22,2,3,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,2,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Merlthor Butterfly,メルトールバタフライ,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Ragworm,イワイソメ,51,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,T!Gladius,グラディウス,,,,,,7 - 14,,,M!Ghoul Barracuda,グールバラクーダ,M!Ghoul Barracuda,グールバラクーダ,49,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Spectral Discus,スペクトラルディスカス,19 - 34,21 - 37,21 - 37,21 - 37,,,,,,,Krill,クリル,100,1,1,!!!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,No,Wind,風,Gales,暴風,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,I!Little Leviathan,リトルリヴァイアサン,,,16 - 28,,,,,,,,Plump Worm,ファットワーム,204,1,1,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Wind,風,Gales,暴風,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Gladius.png"" alt=""グラディウス"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""グラディウス"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Sea Nettle,シーネトル,6 - 8,,,7 - 9,,,Shrimp Cage Feeder,シュリンプフィーダー,,,Ragworm,イワイソメ,156,4,7,!,Precision,プレシジョンフッキング,,,,,,,,,,,No,Yes,No,4,J,Jellyfish,クラゲ,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,メルトール海峡南,T!Great Grandmarlin,グランドマーリン,,,,,,2 - 3,Shrimp Cage Feeder,シュリンプフィーダー,M!Hi-aetherlouse,ハイエーテルラウス,M!Hi-aetherlouse,ハイエーテルラウス,127,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Shipwreck's Sail,レックドクロス,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,4 - 6,Shrimp Cage Feeder,シュリンプフィーダー,M!Hi-aetherlouse,ハイエーテルラウス,Plump Worm,ファットワーム,59,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Charlatan Survivor,シャーラタンサバイバー,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Shrimp Cage Feeder,シュリンプフィーダー,,,Krill,クリル,69,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,M!Hi-aetherlouse,ハイエーテルラウス,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Shrimp Cage Feeder,シュリンプフィーダー,,,Ragworm,イワイソメ,65,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Azeyma's Sleeve,アーゼマの垂衣,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Shrimp Cage Feeder,シュリンプフィーダー,,,Krill,クリル,69,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Aetheric Seadragon,エーテリックシードラゴン,,,,,,3 - 6,Shrimp Cage Feeder,シュリンプフィーダー,M!Hi-aetherlouse,ハイエーテルラウス,M!Hi-aetherlouse,ハイエーテルラウス,245,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,No,No,Yes,4,,Seadragon,シードラゴン,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Southern,メルトール海峡南,Mythril Sovereign,ミスリルソブリン,,5 - 6,,7 - 9,,,Shrimp Cage Feeder,シュリンプフィーダー,,,Krill,クリル,196,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,No,No,4,,,,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Southern,メルトール海峡南,Roguesaurus,ロガサウルス,,,,,,3 - 4,Shrimp Cage Feeder,シュリンプフィーダー,M!Hi-aetherlouse,ハイエーテルラウス,M!Hi-aetherlouse,ハイエーテルラウス,345,2,3,!!!,Powerful,ストロングフッキング,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,メルトール海峡南,F!Coral Manta,コーラルマンタ,,,,,9 - 12,,Shrimp Cage Feeder,シュリンプフィーダー,,,Shrimp Cage Feeder,シュリンプフィーダー,500,1,1,!!!,Powerful,ストロングフッキング,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Great Grandmarlin.png"" alt=""グランドマーリン"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""グランドマーリン"" tabindex=""0"">",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Northern,メルトール海峡北,Floefish,ドリフトアイスフィッシュ,4 - 8,4 - 8,4 - 8,7 - 12,,,,,,,Ragworm,イワイソメ,13,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,No,No,Yes,Snow,雪,Blizzards,吹雪,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Megasquid,メガスキッド,6 - 10,6 - 10,6 - 10,8 - 14,,,,,,,Plump Worm,ファットワーム,11,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Oschon's Stone,オシュオンズストーン,12 - 22,12 - 22,12 - 22,15 - 25,,15 - 25,,,M!Tossed Dagger,スロウンダガー,Plump Worm,ファットワーム,11,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,M!Tossed Dagger,スロウンダガー,7 - 14,12 - 18,12 - 18,10 - 16,,,,,,,Ragworm,イワイソメ,27,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,No,Yes,Snow,雪,Blizzards,吹雪,,,,2,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Tripod Fish,トライポッド,15 - 24,10 - 19,15 - 24,15 - 24,,,,,,,Krill,クリル,43,2,3,!,Precision,プレシジョンフッキング,Yes,No,No,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,2,,Fugu,フグ,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Net Crawler,スパイダークラブ,14 - 22,9 - 17,14 - 22,14 - 22,,,,,,,Krill,クリル,36,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,2,C,Crab,カニ,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Merlthor Lobster,メルトールロブスター,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,クリル,45,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,T!Elder Dinichthys,エルダー・ディニクティス,,,,,,10 - 17,,,M!Tossed Dagger,スロウンダガー,M!Tossed Dagger,スロウンダガー,52,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Spectral Sea Bo,スペクトラルシーホース,20 - 36,20 - 36,20 - 36,25 - 39,,,,,,,Ragworm,イワイソメ,100,1,1,!!!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,No,Snow,雪,Blizzards,吹雪,,,,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,I!Shooting Star,海の流星,16 - 28,,,,,,,,,,Ragworm,イワイソメ,226,1,1,!!!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Snow,雪,Blizzards,吹雪,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Elder Dinichthys.png"" alt=""エルダー・ディニクティス"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""エルダー・ディニクティス"" tabindex=""0"">",No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Hammerclaw,ハンマーロブスター,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Heavy Steel Jig,ヘヴィメタルジグ,,,Krill,クリル,69,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Coccosteus,コッコステウス,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Heavy Steel Jig,ヘヴィメタルジグ,,,Plump Worm,ファットワーム,79,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Bartholomew the Chopper,ザ・チョッパー,5 - 6,,,7 - 9,,,Heavy Steel Jig,ヘヴィメタルジグ,,,Ragworm,イワイソメ,221,4,7,!,Precision,プレシジョンフッキング,,,,,,,,,,,No,No,Yes,4,C,Crab,カニ,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,メルトール海峡北,Prowler,タイガーキャットコッド,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Heavy Steel Jig,ヘヴィメタルジグ,,,Ragworm,イワイソメ,79,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Mopbeard,モッピィビアード,,5.5 - 8,,7 - 10,,,Heavy Steel Jig,ヘヴィメタルジグ,,,Krill,クリル,198,4,7,!!,Powerful,ストロングフッキング,,,,,,,,,,,No,No,Yes,4,,Octopus,オクトパス,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,メルトール海峡北,Wild Urchin,ワイルドアーチン,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,6 - 9,,Heavy Steel Jig,ヘヴィメタルジグ,,,Ragworm,イワイソメ,79,2,3,!,Precision,プレシジョンフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,T!Gugrusaurus,ググリューサウルス,4 - 8,4 - 8,4 - 8,7 - 10,4 - 8,,Heavy Steel Jig,ヘヴィメタルジグ,,,Plump Worm,ファットワーム,79,3 - 4,5 - 7,!!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,メルトール海峡北,Coral Seadragon,コーラルシードラゴン,7 - 11,,,8 - 12,,,Heavy Steel Jig,ヘヴィメタルジグ,,,Ragworm,イワイソメ,189,4,7,!,Precision,プレシジョンフッキング,,,,,,,,,,,No,Yes,No,4,,Seadragon,シードラゴン,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,メルトール海峡北,The Fallen One,フォーレンワン,,7 - 10,,9 - 11,,,Heavy Steel Jig,ヘヴィメタルジグ,,,Krill,クリル,374,2,3,!!,Powerful,ストロングフッキング,,,,,,,,,,,No,Yes,No,4,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,メルトール海峡北,F!Elasmosaurus,エラスモサウルス,,,,,9 - 12,,Heavy Steel Jig,ヘヴィメタルジグ,,,Heavy Steel Jig,ヘヴィメタルジグ,500,1,1,!!!,Powerful,ストロングフッキング,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Gugrusaurus.png"" alt=""ググリューサウルス"" data-bs-tooltip=""popover"" data-bs-trigger=""hover"" data-bs-title=""ググリューサウルス"" tabindex=""0"">",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Rhotano,ロータノ海,Rhotano Wahoo,ロータノワフー,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Krill,クリル,13,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,No,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,Rhotano Sardine,ロータノサーディン,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Ragworm,イワイソメ,10,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,1,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,Deep Plaice,ディープシー・プレイス,7 - 12,7 - 12,7 - 12,9 - 15,,,,,,,Krill,クリル,15,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,No,No,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,T!Crimson Monkfish,クリムゾンモンクフィッシュ,12 - 18,12 - 18,7 - 14,12 - 19,,,,,,,Plump Worm,ファットワーム,32,3 - 4,5 - 7,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,Chrome Hammerhead,クロムハンマーヘッド,20 - 33,20 - 33,15 - 28,20 - 33,,,,,,,Plump Worm,ファットワーム,32,4,7,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,2,S,Shark,サメ,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,Ogre Eel,オーガイール,13 - 20,13 - 20,8 - 15,13 - 20,,,,,,,Plump Worm,ファットワーム,38,2,3,!!,Powerful,ストロングフッキング,Yes,No,No,Yes,Yes,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,ロータノ海,Dark Nautilus,ダークノーチラス,17 - 27,17 - 26,17 - 27,17 - 27,,,,,,,Krill,クリル,46,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,砂塵,Heat Waves,灼熱波,,,,3,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
