Stop,StopTranslated,Fish,FishTranslated,Fish-CN,Fish-KR,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialType,BaitMoochType,BaitMoochType,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,Galadion Bay,Merman's Mane,Merman's Mane,人鱼发,인어터럭,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Glowworm,Glowworm,,,Krill,Krill,94,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,Octopus,Octopus,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,T!Heavenskey,Heavenskey,T!天堂之钥,T!천국의 열쇠,2 - 3,2 -3 ,2 - 3,4 - 6,2 - 3,,Glowworm,Glowworm,,,Ragworm,Ragworm,67,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Ghost Shark,Ghost Shark,幽灵鲨,망령상어,3 - 4,3 - 4,3 - 4,5 - 7,5 - 7,,Glowworm,Glowworm,,,Plump Worm,Plump Worm,78,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,S,Shark,Shark,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Fishmonger,Fishmonger,巨食鮟鱇,어물전어,4.5 - 8,4.5 - 8,4.5 - 8,5 - 10,4.5 - 8,,Glowworm,Glowworm,,,Plump Worm,Plump Worm,78,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,T!Navigator's Print,Navigator's Print,T!海神印,T!리믈렌의 발도장,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Glowworm,Glowworm,,,Krill,Krill,71,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Casket Oyster,Casket Oyster,钉牡蛎,못굴,7 - 11,,,9 - 13,,,Glowworm,Glowworm,,,Ragworm,Ragworm,222,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,Galadion Bay,Quicksilver Blade,Quicksilver Blade,流银刃,수은 칼날,,,5 - 7,6 - 8,,,Glowworm,Glowworm,,,Plump Worm,Plump Worm,213,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,S,Shark,Shark,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Funnel Shark,Funnel Shark,漏斗鲨,깔때기상어,,,7 - 11,9 - 12,,,Glowworm,Glowworm,,,Plump Worm,Plump Worm,213,4,7,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,S,Shark,Shark,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Nimble Dancer,Nimble Dancer,灵敏舞者,날렵한 무희,12 - 16,,,14 - 18,,,Glowworm,Glowworm,,,Ragworm,Ragworm,444,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,Galadion Bay,F!Sothis,Sothis,F!索蒂斯,F!소티스,,,,,9 - 12,,Glowworm,Glowworm,,,Glowworm,Glowworm,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Heavenskey.png"" alt=""Heavenskey"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Heavenskey"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Navigator_s Print.png"" alt=""Navigator's Print"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Navigator's Print"" tabindex=""0"">",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Southern,Southern Merlthor,M!Ghoul Barracuda,Ghoul Barracuda,M!尸鬼梭鱼,M!구울 창꼬치어,4 - 8,4 - 8,4 - 8,7 - 11,,,,,,,Krill,Krill,10,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,No,No,Yes,Wind,Wind,Gales,Gales,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,La Noscean Jelly,La Noscean Jelly,拉诺西亚水母,라노시아 젤리,2 - 5,2 - 5,2 - 5,5 - 8,,,,,,,Ragworm,Ragworm,10,3 - 4,5 - 7,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,1,J,Jellyfish,Jellyfish,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Sunfly,Sunfly,阳光蝴蝶鱼,해님나비어,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Ragworm,Ragworm,10,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Marine Bomb,Marine Bomb,海中爆弹,바다복,5 - 9,5 - 9,9 - 14,9 - 14,,,,,,,Krill,Krill,27,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,2,,Fugu,Fugu,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Shaggy Seadragon,Shaggy Seadragon,蓬松海龙,수풀해마,9 - 16,14 - 22,14 - 22,14 - 22,,,,,,,Ragworm,Ragworm,35,4,7,!,Precision,Precision Hookset,Yes,No,No,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,2,,Seadragon,Seadragon,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Momora Mora,Momora Mora,莫莫拉·莫拉,모모라 모라,13 - 21,13 - 21,8 - 17,13 - 21,,8 - 17,,,M!Ghoul Barracuda,Ghoul Barracuda,Plump Worm,Plump Worm,22,2,3,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,2,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Merlthor Butterfly,Merlthor Butterfly,梅尔托尔蝴蝶鱼,멜토르 나비어,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Ragworm,Ragworm,51,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,T!Gladius,Gladius,T!步兵剑,T!글라디우스,,,,,,7 - 14,,,M!Ghoul Barracuda,Ghoul Barracuda,M!Ghoul Barracuda,Ghoul Barracuda,49,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Spectral Discus,Spectral Discus,幻光盘丽鱼,유령 원반어,19 - 34,21 - 37,21 - 37,21 - 37,,,,,,,Krill,Krill,100,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,No,Wind,Wind,Gales,Gales,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,I!Little Leviathan,Little Leviathan,I!小利维亚桑,I!꼬마 리바이어선,,,16 - 28,,,,,,,,Plump Worm,Plump Worm,204,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Wind,Gales,Gales,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Gladius.png"" alt=""Gladius"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Gladius"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Sea Nettle,Sea Nettle,海荨麻,바다쐐기,6 - 8,,,7 - 9,,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Ragworm,Ragworm,156,4,7,!,Precision,Precision Hookset,,,,,,,,,,,No,Yes,No,4,J,Jellyfish,Jellyfish,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,Southern Merlthor,T!Great Grandmarlin,Great Grandmarlin,T!巨大枪鱼,T!장수 청새치,,,,,,2 - 3,Shrimp Cage Feeder,Shrimp Cage Feeder,M!Hi-aetherlouse,Hi-aetherlouse,M!Hi-aetherlouse,Hi-aetherlouse,127,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Shipwreck's Sail,Shipwreck's Sail,海难船帆,난파선돛,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,4 - 6,Shrimp Cage Feeder,Shrimp Cage Feeder,M!Hi-aetherlouse,Hi-aetherlouse,Plump Worm,Plump Worm,59,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Charlatan Survivor,Charlatan Survivor,寄生幸存者,사기꾼 투구게,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Krill,Krill,69,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,M!Hi-aetherlouse,Hi-aetherlouse,M!高级以太药虱,M!하이 에테르충,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Ragworm,Ragworm,65,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Azeyma's Sleeve,Azeyma's Sleeve,太阳神面纱,아제마의 베일,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Krill,Krill,69,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Aetheric Seadragon,Aetheric Seadragon,以太海龙,에테르 해룡,,,,,,3 - 6,Shrimp Cage Feeder,Shrimp Cage Feeder,M!Hi-aetherlouse,Hi-aetherlouse,M!Hi-aetherlouse,Hi-aetherlouse,245,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,4,,Seadragon,Seadragon,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Southern,Southern Merlthor,Mythril Sovereign,Mythril Sovereign,秘银君,미스릴 군주,,5 - 6,,7 - 9,,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Krill,Krill,196,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,,,,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Southern,Southern Merlthor,Roguesaurus,Roguesaurus,无赖龙,불량배 사우루스,,,,,,3 - 4,Shrimp Cage Feeder,Shrimp Cage Feeder,M!Hi-aetherlouse,Hi-aetherlouse,M!Hi-aetherlouse,Hi-aetherlouse,345,2,3,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,Southern Merlthor,F!Coral Manta,Coral Manta,F!珊瑚蝠鲼,F!산호가오리,,,,,9 - 12,,Shrimp Cage Feeder,Shrimp Cage Feeder,,,Shrimp Cage Feeder,Shrimp Cage Feeder,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Great Grandmarlin.png"" alt=""Great Grandmarlin"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Great Grandmarlin"" tabindex=""0"">",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Northern,Northern Merlthor,Floefish,Floefish,浮冰鱼,유빙어,4 - 8,4 - 8,4 - 8,7 - 12,,,,,,,Ragworm,Ragworm,13,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,No,No,Yes,Snow,Snow,Blizzards,Blizzards,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Megasquid,Megasquid,巨乌贼,왕오징어,6 - 10,6 - 10,6 - 10,8 - 14,,,,,,,Plump Worm,Plump Worm,11,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Oschon's Stone,Oschon's Stone,放浪神之石,오쉬온의 돌,12 - 22,12 - 22,12 - 22,15 - 25,,15 - 25,,,M!Tossed Dagger,Tossed Dagger,Plump Worm,Plump Worm,11,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,M!Tossed Dagger,Tossed Dagger,海投刀,총총단검어,7 - 14,12 - 18,12 - 18,10 - 16,,,,,,,Ragworm,Ragworm,27,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,No,Yes,Snow,Snow,Blizzards,Blizzards,,,,2,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Tripod Fish,Tripod Fish,三角刺鱼,삼각고기,15 - 24,10 - 19,15 - 24,15 - 24,,,,,,,Krill,Krill,43,2,3,!,Precision,Precision Hookset,Yes,No,No,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,2,,Fugu,Fugu,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Net Crawler,Net Crawler,蜘蛛蟹,긴다리거미게,14 - 22,9 - 17,14 - 22,14 - 22,,,,,,,Krill,Krill,36,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,2,C,Crab,Crab,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Merlthor Lobster,Merlthor Lobster,梅尔托尔龙虾,멜토르 가재,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,Krill,45,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,T!Elder Dinichthys,Elder Dinichthys,T!古老恐鱼,T!장로 디니크티스,,,,,,10 - 17,,,M!Tossed Dagger,Tossed Dagger,M!Tossed Dagger,Tossed Dagger,52,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Spectral Sea Bo,Spectral Sea Bo,幻光海马,유령 해마,20 - 36,20 - 36,20 - 36,25 - 39,,,,,,,Ragworm,Ragworm,100,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,No,Snow,Snow,Blizzards,Blizzards,,,,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,I!Shooting Star,Shooting Star,I!海流星,I!바다의 유성,16 - 28,,,,,,,,,,Ragworm,Ragworm,226,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Snow,Snow,Blizzards,Blizzards,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Elder Dinichthys.png"" alt=""Elder Dinichthys"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Elder Dinichthys"" tabindex=""0"">",No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Hammerclaw,Hammerclaw,锤爪龙虾,망치가재,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Heavy Steel Jig,Heavy Steel Jig,,,Krill,Krill,69,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Coccosteus,Coccosteus,尾骨鱼,코코스테우스,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Heavy Steel Jig,Heavy Steel Jig,,,Plump Worm,Plump Worm,79,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Bartholomew the Chopper,Bartholomew the Chopper,剪碎手巴塞洛缪,재단게,5 - 6,,,7 - 9,,,Heavy Steel Jig,Heavy Steel Jig,,,Ragworm,Ragworm,221,4,7,!,Precision,Precision Hookset,,,,,,,,,,,No,No,Yes,4,C,Crab,Crab,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,Northern Merlthor,Prowler,Prowler,巡游者,호랑냥대구,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Heavy Steel Jig,Heavy Steel Jig,,,Ragworm,Ragworm,79,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Mopbeard,Mopbeard,幻纱披风,빗자루수염,,5.5 - 8,,7 - 10,,,Heavy Steel Jig,Heavy Steel Jig,,,Krill,Krill,198,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,No,Yes,4,,Octopus,Octopus,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,Northern Merlthor,Wild Urchin,Wild Urchin,狂野海胆,야생 성게,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,6 - 9,,Heavy Steel Jig,Heavy Steel Jig,,,Ragworm,Ragworm,79,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,T!Gugrusaurus,Gugrusaurus,T!守领鳍龙,T!구그루사우루스,4 - 8,4 - 8,4 - 8,7 - 10,4 - 8,,Heavy Steel Jig,Heavy Steel Jig,,,Plump Worm,Plump Worm,79,3 - 4,5 - 7,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,Northern Merlthor,Coral Seadragon,Coral Seadragon,珊瑚海龙,산호 해룡,7 - 11,,,8 - 12,,,Heavy Steel Jig,Heavy Steel Jig,,,Ragworm,Ragworm,189,4,7,!,Precision,Precision Hookset,,,,,,,,,,,No,Yes,No,4,,Seadragon,Seadragon,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,Northern Merlthor,The Fallen One,The Fallen One,坠天鱼,타락어,,7 - 10,,9 - 11,,,Heavy Steel Jig,Heavy Steel Jig,,,Krill,Krill,374,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,4,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,Northern Merlthor,F!Elasmosaurus,Elasmosaurus,F!依拉丝莫龙,F!엘라스모사우루스,,,,,9 - 12,,Heavy Steel Jig,Heavy Steel Jig,,,Heavy Steel Jig,Heavy Steel Jig,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Gugrusaurus.png"" alt=""Gugrusaurus"" data-bs-tooltip=""popover"" data-bs-trigger=""hover"" data-bs-title=""Gugrusaurus"" tabindex=""0"">",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Rhotano,Rhotano Sea,Rhotano Wahoo,Rhotano Wahoo,罗塔诺梭子鰆,로타노 줄삼치,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Krill,Krill,13,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,No,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,Rhotano Sea,Rhotano Sardine,Rhotano Sardine,罗塔诺沙丁鱼,로타노 정어리,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Ragworm,Ragworm,10,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,Dust Storms,Heat Waves,Heat Waves,,,,1,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
